;Framework;Dataset;Input size;Batch size;Mode;Device;Time;Memory
1;pytorch1;bank;(32, 155, 2);32;train;cuda:0;0.0615111072858174;1.1258730158730157
2;pytorch1;bank;(64, 155, 2);64;train;cuda:0;0.0345646897951761;1.858437499999999
3;pytorch1;bank;(128, 155, 2);128;train;cuda:0;0.0250735322634379;2.3993749999999987
4;pytorch2;bank;(128, 155, 2);128;train;cuda:0;0.022470744450887;15.180000000000003
5;pytorch2;bank;(64, 155, 2);64;train;cuda:0;0.0292343815167744;7.6228125
6;pytorch2;bank;(32, 155, 2);32;train;cuda:0;0.052617851893107;3.979841269841269
7;pytorch1;cdnow;(32, 37, 2);32;train;cuda:0;0.5291602134704589;2.2197737556561186
8;pytorch1;cdnow;(64, 37, 2);64;train;cuda:0;0.265700896581014;1.9865963855421684
9;pytorch1;cdnow;(128, 37, 2);128;train;cuda:0;0.1614690820376078;7.553072289156632
10;pytorch2;cdnow;(128, 37, 2);128;train;cuda:0;0.1258533676465352;0.9216867469879519
11;pytorch2;cdnow;(64, 37, 2);64;train;cuda:0;0.1721214095751444;1.2491265060240955
12;pytorch2;cdnow;(32, 37, 2);32;train;cuda:0;0.3354504386583964;1.7891402714932159
13;pytorch2;grocery;(32, 56, 2);32;train;cuda:0;0.0245941718419392;2.8023255813953485
14;pytorch2;grocery;(64, 56, 2);64;train;cuda:0;0.018223214149475;0.6345454545454545
15;pytorch2;grocery;(128, 56, 2);128;train;cuda:0;0.0123713493347167;0.8190909090909092
16;pytorch1;grocery;(128, 56, 2);128;train;cuda:0;0.0142879168192545;0.5599999999999999
17;pytorch1;grocery;(64, 56, 2);64;train;cuda:0;0.0225034793217976;1.3818181818181818
18;pytorch1;grocery;(32, 56, 2);32;train;cuda:0;0.031830092271169;2.765116279069769
19;pytorch1;moia;(32, 36, 2);32;train;cuda:0;0.1106294274330139;1.7338888888888884
20;pytorch1;moia;(64, 36, 2);64;train;cuda:0;0.059231166044871;1.115185185185186
21;pytorch1;moia;(128, 36, 2);128;train;cuda:0;0.0410023252169291;2.81170731707317
22;pytorch2;moia;(128, 36, 2);128;train;cuda:0;0.0336231549580891;1.0080487804878047
23;pytorch2;moia;(64, 36, 2);64;train;cuda:0;0.0450137098630269;1.5049382716049386
24;pytorch2;moia;(32, 36, 2);32;train;cuda:0;0.0801894386609395;2.1240123456790125
25;pytorch1;retail;(128, 51, 2);128;train;cuda:0;0.0528530478477478;2.061666666666667
26;pytorch1;retail;(64, 51, 2);64;train;cuda:0;0.0743774731953938;2.4305952380952376
27;pytorch1;retail;(32, 51, 2);32;train;cuda:0;0.1142310937245686;2.681726190476189
28;pytorch2;retail;(32, 51, 2);32;train;cuda:0;0.0843120733896891;1.9739880952380953
29;pytorch2;retail;(64, 51, 2);64;train;cuda:0;0.0629301826159159;1.492261904761905
30;pytorch2;retail;(128, 51, 2);128;train;cuda:0;0.0457870244979858;2.0842857142857145